Player,Pos,Ht,Wt
Jason Collier,C,213.36,117.93
Art Collins,G,193.04,83.91
Don Collins,G-F,198.12,86.18
Doug Collins,G-F,198.12,81.65
James Collins,G,193.04,88.9
Jarron Collins,F-C,210.82,115.67
Jason Collins,C,213.36,115.67
Jimmy Collins,G,187.96,79.38
John Collins,F,205.74,106.59
Mardy Collins,G,198.12,99.79
Sherron Collins,G,180.34,92.99
Zach Collins,F-C,210.82,105.23
Kyle Collinsworth,G-F,198.12,95.25
Darren Collison,G,182.88,79.38
Nick Collison,F,208.28,115.67
Joe Colone,F,195.58,95.25
Bonzie Colson,F,198.12,101.6
Sean Colson,G,182.88,79.38
Steve Colter,G,190.5,74.84
Glen Combs,G,187.96,83.91
Leroy Combs,F,203.2,95.25
John Comeaux,F,195.58,87.54
Dallas Comegys,F,205.74,92.99
Larry Comley,G,195.58,95.25
Jeffrey Congdon,G,185.42,81.65
Gene Conley,F-C,203.2,102.06
Larry Conley,G,190.5,79.38
Mike Conley,G,185.42,79.38
Ed Conlin,G-F,195.58,90.72
Marty Conlon,F-C,208.28,101.6
Pat Connaughton,G,195.58,94.8
Jimmy Conner,G,193.04,86.18
Lester Conner,G,193.04,81.65
Chuck Connors,F-C,195.58,86.18
Will Conroy,G,187.96,88.45
Anthony Cook,F-C,205.74,92.99
Bert Cook,G-F,190.5,83.91
Bobby Cook,G-F,177.8,70.31
Brian Cook,F,205.74,106.14
Daequan Cook,G,195.58,92.99
Darwin Cook,G,190.5,83.46
Jeff Cook,F-C,208.28,97.52
Norm Cook,F,203.2,95.25
Omar Cook,G,185.42,86.18
Quinn Cook,G,185.42,81.19
Tyler Cook,F,203.2,115.67
Charles Cooke,G,195.58,88.9
David Cooke,F,203.2,104.33
Joe Cooke,G,190.5,79.38
Jack Cooley,F-C,205.74,117.93
Chuck Cooper*,F,195.58,95.25
Duane Cooper,G,185.42,83.91
Joe Cooper,F-C,208.28,104.33
Michael Cooper,G-F,195.58,77.11
Wayne Cooper,F-C,208.28,99.79
Tom Copa,C,208.28,124.74
Chris Copeland,F,205.74,108.41
Hollis Copeland,F,198.12,81.65
Lanard Copeland,G,198.12,86.18
Tyrone Corbin,G-F,198.12,95.25
Chris Corchiani,G,182.88,83.91
Ken Corley,C,195.58,95.25
Ray Corley,G,182.88,81.65
Dave Corzine,C,210.82,113.4
Larry Costello,G,185.42,84.37
Matt Costello,F,205.74,111.13
Bryce Cotton,G,185.42,74.84
Jack Cotton,F-C,200.66,90.72
James Cotton,G,195.58,99.79
John Coughran,F,200.66,102.06
Mel Counts,F-C,213.36,104.33
Steve Courtin,G,185.42,85.28
Joe Courtney,F,203.2,106.59
Marcus Cousin,C,210.82,111.13
DeMarcus Cousins,F-C,208.28,122.47
Bob Cousy*,G,185.42,79.38
Robert Covington,F,200.66,95.71
Dave Cowens*,F-C,205.74,104.33
Chubby Cox,G,187.96,81.65
Johnny Cox,G,193.04,81.65
Wesley Cox,F,198.12,97.52
Allen Crabbe,G-F,195.58,96.16
Torrey Craig,G-F,200.66,97.52
Chris Crawford,F,205.74,106.59
Freddie Crawford,G-F,193.04,85.73
Jamal Crawford,G,195.58,83.91
Joe Crawford,F,195.58,95.25
Jordan Crawford,G,193.04,88.45
Mitch Creek,G,195.58,97.98
Jim Creighton,F,203.2,90.72
Ron Crevier,C,213.36,106.59
Hal Crisler,F,190.5,97.52
Joe Crispin,G,182.88,83.91
Charlie Criss,G,172.72,74.84
Russell Critchfield,G,177.8,68.04
Winston Crite,F,200.66,105.69
Javaris Crittenton,G,195.58,90.72
Dillard Crocker,G-F,193.04,92.99
Bobby Croft,C,208.28,90.72
Geoff Crompton,C,210.82,127.01
Terry Crosby,G,193.04,88.45
Austin Croshere,F,205.74,106.59
Jeff Cross,F,208.28,108.86
Pete Cross,F-C,205.74,104.33
Russell Cross,C,208.28,97.52
Chink Crossin,G,185.42,74.84
John Crotty,G,185.42,83.91
Bill Crow,G,185.42,81.65
Mark Crow,F,200.66,95.25
Corey Crowder,G-F,195.58,97.07
Jae Crowder,F,198.12,106.59
Al Cueto,F-C,200.66,104.33
Jarrett Culver,G,198.12,88.45
Pat Cummings,F-C,205.74,104.33
Terry Cummings,F,205.74,99.79
Vonteego Cummings,G,190.5,83.91
Billy Cunningham*,F-C,198.12,95.25
Dante Cunningham,F,203.2,104.33
Dick Cunningham,C,208.28,111.13
Jared Cunningham,G,193.04,88.45
William Cunningham,C,210.82,113.4
Radisav Ćurčić,C,208.28,124.74
Armand Cure,F,182.88,89.81
Earl Cureton,F-C,205.74,95.25
Bill Curley,F,205.74,99.79
Fran Curran,G,182.88,79.38
Dell Curry,G,193.04,86.18
Eddy Curry,C,213.36,133.81
JamesOn Curry,G,190.5,86.18
Michael Curry,G-F,195.58,95.25
Seth Curry,G,187.96,83.91
Stephen Curry,G,190.5,86.18
Rastko Cvetković,C,215.9,117.93
Fred LaCour,G-F,195.58,95.25
Raef LaFrentz,F-C,210.82,108.86
Tom LaGarde,F-C,208.28,99.79
Rusty LaRue,G,187.96,95.25
Rudy LaRusso,F-C,200.66,99.79
Zach LaVine,G,198.12,82.1
Skal Labissière,F,208.28,97.98
Reggie Lacefield,G-F,195.58,104.33
Edgar Lacey,F,198.12,86.18
Sam Lacey,C,208.28,106.59
Bob Lackey,G-F,195.58,90.72
Wendell Ladner,F,195.58,99.79
Christian Laettner,F-C,210.82,106.59
Oliver Lafayette,G,187.96,86.18
Bill Laimbeer,C,210.82,111.13
Pete Lalich,F,187.96,86.18
Bo Lamar,G,185.42,81.65
Doron Lamb,G,193.04,95.25
Jeremy Lamb,G-F,195.58,83.91
John Lambert,F-C,208.28,102.06
Jeff Lamp,G-F,198.12,88.45
Maciej Lampe,C,210.82,124.74
Jim Lampley,C,208.28,104.33
Sean Lampley,F,200.66,102.97
Carl Landry,F,205.74,112.49
Marcus Landry,F,200.66,104.33
Mark Landsberger,F-C,203.2,97.52
Jerome Lane,F,198.12,104.33
Andrew Lang,C,210.82,111.13
Antonio Lang,G-F,203.2,92.99
James Lang,C,208.28,129.27
Trajan Langdon,G,190.5,89.36
Keith Langford,G,193.04,97.52
Romeo Langford,G,193.04,97.98
Dan Langhi,F,210.82,99.79
Bob Lanier*,C,210.82,113.4
Stu Lantz,G,190.5,79.38
Nicolás Laprovíttola,G,193.04,81.65
York Larese,G,193.04,83.01
Shane Larkin,G,180.34,79.38
John Laskowski,G,198.12,83.91
Stéphane Lasme,F,203.2,97.52
Dave Lattin,F-C,198.12,102.06
Priest Lauderdale,C,223.52,147.42
Rich Laurel,G,198.12,86.18
Harry Laurie,G,185.42,80.74
Walt Lautenbach,G-F,187.96,83.91
Joffrey Lauvergne,F-C,210.82,99.79
Tony Lavelli,F,190.5,83.91
Bob Lavoy,F-C,200.66,83.91
Acie Law,G,190.5,88.45
Vic Law,F,200.66,90.72
Gani Lawal,F,205.74,106.14
Edmund Lawrence,C,213.36,103.42
Jason Lawson,C,210.82,108.86
Ty Lawson,G,180.34,88.45
Jake Layman,F,203.2,94.8
Mo Layton,G,185.42,81.65
Caris LeVert,G-F,198.12,92.99
T.J. Leaf,F,208.28,102.06
Manny Leaks,F-C,203.2,102.06
Hal Lear,G,182.88,73.94
Allen Leavell,G,185.42,77.11
Jeff Lebo,G,187.96,81.65
Eric Leckner,F-C,210.82,120.2
Jalen Lecque,G,190.5,83.91
Ricky Ledo,G,200.66,88.45
Butch Lee,G,182.88,83.91
Clyde Lee,F-C,208.28,92.99
Courtney Lee,G,195.58,97.52
Damion Lee,G,195.58,95.25
David Lee,F,200.66,102.06
David Lee,F,205.74,111.13
Doug Lee,G-F,195.58,90.72
George Lee,G-F,193.04,90.72
Greg Lee,G,190.5,86.18
Keith Lee,F-C,208.28,97.52
Kurk Lee,G,190.5,86.18
Malcolm Lee,G,195.58,90.72
Rock Lee,C,208.28,99.79
Ron Lee,G,193.04,87.54
Russ Lee,G-F,195.58,83.91
Ed Leede,G-F,190.5,83.91
Hank Lefkowitz,F,187.96,86.18
Tim Legler,G,193.04,90.72
George Lehmann,G,182.88,81.65
Walt Lemon,G,190.5,81.65
Alex Len,C,213.36,113.4
Voshon Lenard,G,193.04,92.99
Leary Lentz,F,198.12,90.72
Gary Leonard,C,215.9,113.4
Kawhi Leonard,F,200.66,104.33
Meyers Leonard,F-C,213.36,117.93
Slick Leonard*,G,190.5,83.91
Jim Les,G,180.34,74.84
Travis Leslie,G,193.04,92.99
Ronnie Lester,G,187.96,79.38
Clifford Lett,G,190.5,77.11
Jon Leuer,F,208.28,103.42
Andrew Levane,G-F,187.96,86.18
Fat Lever,G,190.5,77.11
Cliff Levingston,F,203.2,95.25
Bobby Lewis,G,190.5,79.38
Cedric Lewis,F-C,208.28,106.59
Freddie Lewis,G-F,187.96,88.45
Freddie Lewis,G,182.88,79.38
Grady Lewis,F-C,200.66,97.52
Martin Lewis,F,195.58,95.25
Mike Lewis,F-C,203.2,102.06
Quincy Lewis,F,200.66,97.52
Ralph Lewis,G-F,198.12,90.72
Rashard Lewis,F,208.28,97.52
Reggie Lewis,G-F,200.66,88.45
Marcus Liberty,F,203.2,92.99
Todd Lichti,G-F,193.04,92.99
Barry Liebowitz,G,187.96,81.65
DeAndre Liggins,G,198.12,94.8
Bill Ligon,G,193.04,81.65
Goose Ligon,F-C,200.66,95.25
Damian Lillard,G,187.96,88.45
Jeremy Lin,G,190.5,90.72
Steve Lingenfelter,F,205.74,102.06
Alton Lister,F-C,213.36,108.86
Nassir Little,F,195.58,99.79
Samuel Little,G,182.88,81.65
Gene Littles,G,182.88,72.57
Randy Livingston,G,193.04,94.8
Shaun Livingston,G,200.66,87.09
Ron Livingstone,C,208.28,99.79
Horacio Llamas Grey,C,210.82,129.27
Bobby Lloyd,G,187.96,83.46
Chuck Lloyd,F-C,203.2,99.79
Earl Lloyd*,F-C,195.58,90.72
Lewis Lloyd,G-F,198.12,92.99
Scott Lloyd,F-C,208.28,104.33
Riney Lochmann,F,198.12,97.52
Bob Lochmueller,F,195.58,83.91
Rob Lock,F,205.74,102.06
Darrell Lockhart,C,205.74,111.13
Ian Lockhart,F,203.2,108.86
Kevin Loder,G-F,198.12,92.99
Don Lofgran,F-C,195.58,90.72
Zach Lofton,G,193.04,81.65
Henry Logan,G,182.88,81.65
John Logan,G,187.96,79.38
Brad Lohaus,F-C,210.82,104.33
Art Long,F-C,205.74,113.4
Grant Long,F,203.2,102.06
John Long,G-F,195.58,88.45
Paul Long,G,187.96,81.65
Shawn Long,F-C,205.74,115.67
Willie Long,F-C,203.2,102.06
Luc Longley,C,218.44,120.2
Kevon Looney,F-C,205.74,99.79
Brook Lopez,C,213.36,122.47
Felipe López,G,195.58,90.26
Raül López,G,185.42,77.11
Robin Lopez,C,213.36,124.74
Ryan Lorthridge,G,193.04,86.18
Jim Loscutoff,F,195.58,99.79
Plummer Lott,G-F,195.58,95.25
Kevin Loughery,G,190.5,86.18
Bob Love,F,203.2,97.52
Kevin Love,F,203.2,113.85
Stan Love,F,205.74,97.52
Clyde Lovellette*,F-C,205.74,106.14
Sidney Lowe,G,182.88,88.45
Charlie Lowery,G,190.5,83.91
Kyle Lowry,G,182.88,88.9
Jordan Loyd,G,193.04,95.25
Al Lucas,G-F,190.5,88.45
Jerry Lucas*,F-C,203.2,104.33
John Lucas,G,190.5,79.38
Kalin Lucas,G,185.42,88.45
Maurice Lucas,F-C,205.74,97.52
John Lucas III,G,180.34,75.3
Ted Luckenbill,F,198.12,92.99
Tyronn Lue,G,182.88,79.38
Jim Luisi,G,187.96,81.65
Al Lujack,F,190.5,99.79
Phil Lumpkin,G,182.88,74.84
Ray Lumpp,G,185.42,80.74
Timothé Luwawu-Cabarrot,F,200.66,95.25
Tyler Lydon,F,208.28,102.06
Trey Lyles,F,205.74,106.14
R.B. Lynam,G,185.42,86.18
George Lynch,F,203.2,98.88
Kevin Lynch,G-F,195.58,88.45
Lonnie Lynn,F,200.66,97.52
Mike Lynn,F,200.66,97.52
Zhou Qi,F-C,215.9,95.25
Tim Quarterman,G,198.12,88.45
Bob Quick,G-F,195.58,97.52
Chris Quinn,G,187.96,83.91
Brian Quinnett,F,203.2,106.59
Joe Fabel,G-F,185.42,86.18
John Fairchild,F,203.2,92.99
Tacko Fall,C,226.06,141.07
Phil Farbman,F,185.42,83.91
Kenneth Faried,F,203.2,99.79
Dick Farley,G-F,193.04,86.18
Jordan Farmar,G,187.96,81.65
Desmon Farmer,G,195.58,99.79
Jim Farmer,G,193.04,86.18
Mike Farmer,F,200.66,95.25
Tony Farmer,F,205.74,110.68
Bob Faught,F,195.58,83.91
Vítor Faverani,C,210.82,117.93
Derrick Favors,F-C,205.74,120.2
Nick Fazekas,F,210.82,106.59
Dave Fedor,F,198.12,86.18
Bob Feerick,G-F,190.5,86.18
Butch Feher,G,193.04,83.91
Jamie Feick,C,205.74,115.67
Ron Feiereisel,G,190.5,83.91
George Feigenbaum,G,185.42,83.91
Dave Feitl,C,210.82,106.59
Kay Felder,G,175.26,79.83
Cristiano Felício,F-C,208.28,122.47
Carrick Felix,G,198.12,91.17
Noel Felix,F,205.74,102.06
Ray Felix,C,210.82,99.79
Raymond Felton,G,185.42,92.99
Jake Fendley,G,182.88,81.65
Warren Fenley,F,190.5,86.18
Desmond Ferguson,G-F,200.66,92.08
Terrance Ferguson,G-F,198.12,86.18
Rudy Fernández,G,198.12,83.91
Bruno Fernando,F,205.74,105.69
Eric Fernsten,F-C,208.28,92.99
Al Ferrari,G-F,193.04,86.18
Rolando Ferreira,C,215.9,108.86
Duane Ferrell,G-F,200.66,94.8
Yogi Ferrell,G,182.88,81.65
Arnie Ferrin,G-F,187.96,81.65
Bob Ferry,F-C,203.2,104.33
Danny Ferry,F,208.28,104.33
Kyrylo Fesenko,C,215.9,130.63
Bobby Fields,G,190.5,79.38
Kenny Fields,G-F,195.58,99.79
Landry Fields,F,200.66,95.25
Ron Filipek,F,195.58,92.99
Greg Fillmore,C,215.9,108.86
Larry Finch,G,187.96,83.91
Hank Finkel,C,213.36,108.86
Michael Finley,G-F,200.66,97.52
Danny Finn,G,185.42,83.91
Dorian Finney-Smith,F,200.66,99.79
Matt Fish,C,210.82,106.59
Derek Fisher,G,185.42,90.72
Richard Fisher,F,195.58,97.52
Gerald Fitch,G,190.5,85.28
Bob Fitzgerald,F-C,195.58,86.18
Dick Fitzgerald,F,187.96,79.38
Marcus Fizer,F,205.74,118.84
Jerry Fleishman,G-F,187.96,86.18
Al Fleming,F,200.66,97.52
Ed Fleming,G-F,190.5,85.73
Vern Fleming,G,195.58,83.91
Luis Flores,G,187.96,90.72
Bruce Flowers,F,203.2,102.06
Sleepy Floyd,G,190.5,77.11
Jonny Flynn,G,182.88,83.91
Mike Flynn,G,187.96,81.65
Larry Fogle,G,195.58,92.99
Jack Foley,F,190.5,77.11
Isaac Fontaine,G,193.04,95.25
Levi Fontaine,G,193.04,86.18
Jeff Foote,C,213.36,120.2
Bryn Forbes,G,187.96,86.18
Gary Forbes,F,200.66,99.79
Alphonso Ford,G,185.42,86.18
Alton Ford,F,205.74,124.74
Bob Ford,F,200.66,103.42
Chris Ford,G-F,195.58,86.18
Don Ford,F,205.74,97.52
Jake Ford,G,190.5,81.65
Phil Ford,G,187.96,79.38
Sharrod Ford,F,205.74,102.06
Sherell Ford,F,200.66,95.25
T.J. Ford,G,182.88,74.84
Donnie Forman,G,177.8,79.38
Bayard Forrest,C,208.28,106.59
Joseph Forte,G,193.04,88.0
Courtney Fortson,G,180.34,83.91
Danny Fortson,F,200.66,117.93
Fred Foster,F,195.58,95.25
Greg Foster,F-C,210.82,108.86
Jeff Foster,F-C,210.82,107.05
Jimmy Foster,G,185.42,79.38
Rod Foster,G,185.42,72.57
Antonis Fotsis,F,208.28,99.34
Evan Fournier,G-F,200.66,92.99
Larry Foust,F-C,205.74,97.52
Calvin Fowler,G,182.88,79.38
Jerry Fowler,C,203.2,104.33
Tremaine Fowlkes,F,203.2,99.79
De'Aaron Fox,G,190.5,83.91
Harold Fox,G,187.96,79.38
Jim Fox,F-C,208.28,104.33
Rick Fox,G-F,200.66,104.33
Randy Foye,G,193.04,96.62
Adonal Foyle,C,208.28,113.4
Richie Frahm,G,195.58,95.25
Steve Francis,G,190.5,88.45
Tellis Frank,F-C,208.28,102.06
Nat Frankel,G-F,182.88,88.45
Jamaal Franklin,G,195.58,86.64
William Franklin,F,200.66,99.79
Ronald Franz,F,200.66,92.99
Melvin Frazier,G,195.58,90.72
Michael Frazier,G,190.5,90.72
Tim Frazier,G,182.88,77.11
Walt Frazier*,G,193.04,90.72
Will Frazier,F-C,200.66,95.25
Anthony Frederick,F,200.66,92.99
Jimmer Fredette,G,187.96,88.45
World B. Free,G,187.96,83.91
Joel Freeland,F-C,208.28,113.4
Donnie Freeman,G,190.5,83.91
Gary Freeman,F,205.74,95.25
Rod Freeman,F,200.66,102.06
Matt Freije,F,208.28,108.86
Frido Frey,F,187.96,88.45
Larry Friend,G-F,193.04,83.91
Pat Frink,G,193.04,88.45
Jim Fritsche,F-C,203.2,95.25
Channing Frye,F-C,213.36,115.67
Bernie Fryer,G,190.5,83.91
Frank Fucarino,F,187.96,79.38
Herm Fuetsch,G,182.88,77.11
Joe Fulks*,F-C,195.58,86.18
Carl Fuller,C,205.74,102.06
Hiram Fuller,F,205.74,108.86
Todd Fuller,C,210.82,115.67
Tony Fuller,G,193.04,81.65
Markelle Fultz,G,190.5,90.72
Lawrence Funderburke,F,205.74,104.33
Terry Furlow,G-F,193.04,86.18
Edwin Ubiles,G,198.12,92.53
Ekpe Udoh,F-C,208.28,111.13
Ime Udoka,F,198.12,97.52
Beno Udrih,G,190.5,92.99
Roko Ukić,G,195.58,83.01
Tyler Ulis,G,177.8,72.57
Wes Unseld*,F-C,200.66,111.13
Hal Uplinger,G,193.04,83.91
Kelvin Upshaw,G,187.96,81.65
Jarrod Uthoff,F,205.74,100.24
Ben Uzoh,G,190.5,92.99
Warren Jabali,G-F,187.96,90.72
Jarrett Jack,G,190.5,90.72
Aaron Jackson,G,193.04,83.91
Al Jackson,G,185.42,83.91
Bobby Jackson,G,185.42,83.91
Cedric Jackson,G,190.5,86.64
Darnell Jackson,F,205.74,114.76
Demetrius Jackson,G,185.42,91.17
Frank Jackson,G,190.5,92.99
Greg Jackson,G,182.88,81.65
Jaren Jackson,G-F,193.04,86.18
Jaren Jackson,F,210.82,109.77
Jermaine Jackson,G,193.04,92.53
Jim Jackson,G,198.12,99.79
Josh Jackson,G-F,203.2,93.89
Justin Jackson,G-F,200.66,95.25
Luke Jackson,F-C,205.74,108.86
Luke Jackson,F,200.66,97.52
Marc Jackson,C,208.28,122.47
Mark Jackson,G,185.42,81.65
Mervin Jackson,G,190.5,79.38
Michael Jackson,G,187.96,83.01
Mike Jackson,F,200.66,97.52
Myron Jackson,G,190.5,83.91
Phil Jackson*,F-C,203.2,99.79
Pierre Jackson,G,177.8,81.65
Ralph Jackson,G,187.96,86.18
Randell Jackson,F,210.82,97.52
Reggie Jackson,G,190.5,94.35
Stanley Jackson,G,190.5,83.91
Stephen Jackson,G-F,203.2,98.88
Tony Jackson,G-F,193.04,90.72
Tony Jackson,G,182.88,77.11
Tracy Jackson,G-F,198.12,92.99
Wardell Jackson,F,200.66,90.72
Fred Jacobs,F,190.5,79.38
Casey Jacobsen,G-F,198.12,97.52
Sam Jacobson,G-F,193.04,97.52
Dave Jamerson,G-F,195.58,86.18
Aaron James,F,203.2,95.25
Bernard James,C,208.28,108.86
Billy James,G,190.5,83.91
Damion James,G-F,200.66,102.06
Gene James,F,193.04,81.65
Henry James,F,203.2,99.79
Jerome James,C,213.36,136.08
Justin James,G,200.66,86.18
LeBron James,G-F,205.74,113.4
Mike James,G,187.96,85.28
Mike James,G,185.42,85.73
Tim James,F,200.66,96.16
Antawn Jamison,F,203.2,101.15
Harold Jamison,F,203.2,117.93
John Janisch,G-F,190.5,90.72
Howie Janotta,F,190.5,83.91
Marko Jarić,G,200.66,89.81
Tony Jaros,G-F,190.5,83.91
Jim Jarvis,G,185.42,79.38
Šarūnas Jasikevičius,G,193.04,88.45
Nathan Jawai,F-C,208.28,127.01
Buddy Jeannette*,G,180.34,79.38
Abdul Jeelani,F-C,203.2,95.25
Chris Jefferies,G-F,203.2,102.06
Othyus Jeffers,G,195.58,90.72
Al Jefferson,F-C,208.28,131.09
Amile Jefferson,F,205.74,100.7
Cory Jefferson,F,205.74,98.88
Dontell Jefferson,G,195.58,88.45
Richard Jefferson,F,200.66,105.69
DaQuan Jeffries,G-F,195.58,97.98
Jared Jeffries,F,210.82,104.33
Charles Jenkins,G,190.5,99.79
Horace Jenkins,G,185.42,81.65
John Jenkins,G,193.04,97.52
Brandon Jennings,G,185.42,77.11
Keith Jennings,G,170.18,72.57
Chris Jent,F,200.66,99.79
Les Jepsen,C,213.36,107.5
Jonas Jerebko,F,208.28,104.78
Ty Jerome,G,195.58,88.45
Grant Jerrett,F,208.28,106.59
Eugene Jeter,G,180.34,79.38
Hal Jeter,G,190.5,86.18
Yi Jianlian,F,213.36,108.86
Britton Johnsen,F,208.28,95.25
Alexander Johnson,F,205.74,108.86
Alize Johnson,F,200.66,96.16
Amir Johnson,F-C,205.74,108.86
Andy Johnson,G-F,195.58,97.52
Anthony Johnson,G,190.5,86.18
Armon Johnson,G,190.5,88.45
Arnie Johnson,F-C,195.58,107.05
Avery Johnson,G,177.8,79.38
B.J. Johnson,G,200.66,90.72
Brice Johnson,F,208.28,104.33
Buck Johnson,F,200.66,86.18
Cameron Johnson,F,203.2,92.99
Carldell Johnson,G,177.8,81.65
Charles Johnson,G,182.88,77.11
Cheese Johnson,G-F,198.12,88.45
Chris Johnson,C,210.82,95.25
Chris Johnson,G-F,198.12,93.44
Clay Johnson,G,193.04,79.38
Clemon Johnson,F-C,208.28,108.86
Dakari Johnson,C,213.36,115.67
Darryl Johnson,G,185.42,77.11
Dave Johnson,G-F,200.66,95.25
DeMarco Johnson,F,205.74,111.13
Dennis Johnson*,G,193.04,83.91
DerMarr Johnson,F,205.74,91.17
Ed Johnson,C,203.2,92.99
Eddie Johnson,G,187.96,81.65
Eddie Johnson,G-F,200.66,97.52
Eric Johnson,G,187.96,92.99
Ervin Johnson,C,210.82,111.13
Frank Johnson,G,185.42,83.91
George Johnson,C,210.82,111.13
George Johnson,F-C,210.82,92.99
George Johnson,F-C,200.66,95.25
Gus Johnson*,F-C,198.12,104.33
Harold Johnson,C,198.12,108.86
Ivan Johnson,F,203.2,104.33
JaJuan Johnson,F,208.28,100.24
James Johnson,F,200.66,108.86
Joe Johnson,G-F,200.66,108.86
John Johnson,F,200.66,90.72
Kannard Johnson,F,205.74,99.79
Keldon Johnson,G,195.58,95.71
Ken Johnson,F,203.2,108.86
Ken Johnson,F-C,210.82,108.86
Kevin Johnson,G,185.42,81.65
Larry Johnson,G,190.5,92.99
Larry Johnson,F,198.12,113.4
Lee Johnson,F,210.82,92.99
Linton Johnson,F,203.2,92.99
Magic Johnson*,G-F,205.74,97.52
Marques Johnson,G-F,200.66,98.88
Mickey Johnson,F,208.28,86.18
Neil Johnson,F-C,200.66,99.79
Nick Johnson,G,190.5,91.63
Ollie Johnson,F,198.12,90.72
Omari Johnson,F,205.74,99.79
Orlando Johnson,G,195.58,99.79
Ralph Johnson,G,180.34,77.11
Reggie Johnson,F-C,205.74,92.99
Rich Johnson,C,200.66,95.25
Ron Johnson,F,203.2,97.52
Stanley Johnson,F,198.12,111.13
Steffond Johnson,F,203.2,108.86
Steve Johnson,F-C,208.28,106.59
Stew Johnson,F-C,203.2,99.79
Trey Johnson,G,195.58,98.88
Tyler Johnson,G,190.5,86.18
Vinnie Johnson,G,187.96,90.72
Wesley Johnson,G-F,200.66,97.52
Darius Johnson-Odom,G,187.96,97.52
Nate Johnston,F,203.2,95.25
Neil Johnston*,C,203.2,95.25
Jim Johnstone,F-C,210.82,111.13
Nikola Jokić,F-C,213.36,114.76
Howie Jolliff,F-C,200.66,98.88
Alvin Jones,C,210.82,120.2
Anthony Jones,G-F,198.12,88.45
Askia Jones,G,195.58,90.72
Bill Jones,F,200.66,79.38
Bobby Jones*,F,205.74,95.25
Bobby Jones,F,200.66,97.52
Caldwell Jones,F-C,210.82,98.43
Charles Jones,F-C,205.74,97.52
Charles Jones,F,203.2,97.52
Charles Jones,G,190.5,81.65
Collis Jones,F,200.66,92.08
Dahntay Jones,G-F,198.12,102.06
Damian Jones,F-C,210.82,111.13
Damon Jones,G,190.5,83.91
DeQuan Jones,F,203.2,100.24
Derrick Jones,F,198.12,95.25
Dominique Jones,G,193.04,97.52
Dontae' Jones,F,203.2,99.79
Dwayne Jones,F-C,210.82,113.4
Dwight Jones,F-C,208.28,95.25
Earl Jones,C,213.36,95.25
Eddie Jones,G-F,198.12,86.18
Edgar Jones,F-C,208.28,102.06
Fred Jones,G-F,193.04,95.25
Hutch Jones,F,203.2,86.18
Jake Jones,G,190.5,81.65
Jalen Jones,G,200.66,99.79
James Jones,G-F,203.2,98.88
Jemerrio Jones,F,195.58,78.93
Jimmy Jones,G,193.04,85.28
Johnny Jones,F,200.66,92.99
Jumaine Jones,F,203.2,98.88
K.C. Jones*,G,185.42,90.72
Kevin Jones,F,203.2,113.85
Larry Jones,G-F,187.96,81.65
Major Jones,F,205.74,102.06
Mark Jones,G,185.42,79.38
Mark Jones,G,198.12,97.52
Nick Jones,G,187.96,86.18
Ozell Jones,F-C,210.82,106.59
Perry Jones,F,210.82,106.59
Popeye Jones,F,203.2,113.4
Rich Jones,F-C,198.12,99.79
Robin Jones,F-C,205.74,102.06
Sam Jones*,G-F,193.04,89.81
Shelton Jones,F,205.74,95.25
Solomon Jones,F,208.28,104.33
Steve Jones,G-F,195.58,92.99
Terrence Jones,F,205.74,114.31
Tyus Jones,G,182.88,88.9
Wah Wah Jones,F,193.04,102.06
Wali Jones,G,187.96,81.65
Wil Jones,F,203.2,92.99
Willie Jones,G,190.5,83.91
Adonis Jordan,G,180.34,77.11
Charles Jordan,F,203.2,99.79
DeAndre Jordan,C,210.82,120.2
Eddie Jordan,G,185.42,77.11
Jerome Jordan,C,213.36,114.76
Michael Jordan*,G-F,198.12,88.45
Reggie Jordan,G,193.04,88.45
Thomas Jordan,F-C,208.28,99.79
Walter Jordan,F,200.66,89.81
Phil Jordon,F-C,208.28,92.99
Johnny Jorgensen,G-F,187.96,83.91
Noble Jorgensen,C,205.74,103.42
Roger Jorgensen,F-C,195.58,90.72
Cory Joseph,G,190.5,90.72
Garth Joseph,C,218.44,142.88
Kris Joseph,F,200.66,95.25
Yvon Joseph,C,210.82,111.13
Kevin Joyce,G,190.5,86.18
Butch Joyner,F,195.58,90.72
Jeff Judkins,G-F,198.12,83.91
Stephen Vacendak,G,185.42,83.91
Jonas Valančiūnas,C,210.82,120.2
Darnell Valentine,G,185.42,83.01
Denzel Valentine,G,193.04,95.25
Ronnie Valentine,F,200.66,95.25
John Vallely,G,190.5,83.91
Dick Van Arsdale,G-F,195.58,95.25
Tom Van Arsdale,G-F,195.58,91.63
Nick Van Exel,G,185.42,77.11
Keith Van Horn,F,208.28,99.79
Norm Van Lier,G,185.42,78.47
Dennis Van Zant,F,205.74,95.25
Fred VanVleet,G,185.42,88.45
Gene Vance,G-F,190.5,88.45
Logan Vander Velden,F,203.2,97.52
Jarred Vanderbilt,F,205.74,97.07
Ernie Vandeweghe,G-F,190.5,88.45
Kiki Vandeweghe,F,203.2,99.79
Nick Vanos,C,215.9,115.67
David Vanterpool,G,195.58,90.72
Ratko Varda,C,215.9,117.93
Anderson Varejão,F-C,208.28,123.83
Jarvis Varnado,F,205.74,104.33
Greivis Vásquez,G,198.12,98.43
Chico Vaughn,G,187.96,86.18
David Vaughn,C,210.82,99.79
